Sentences (N-1 | N | N+1);Class
Otherwise, if the invoice is not complete, the admin office can either send it to experience staff who should process the non-compliance invoice, call the client and request for information, or send a postal mail requesting the information complete, in this case a reminder is sent to the client after 10 hours. Finally, when the missing information are obtained the admin office can allocate invoice to DEO. The process starts with the business analyst collecting data and conducting business analysis regarding customer feedback, then the web designer integrates the design and decides where the customer feedback module should be placed;Relevant
Finally, when the missing information are obtained the admin office can allocate invoice to DEO. The process starts with the business analyst collecting data and conducting business analysis regarding customer feedback, then the web designer integrates the design and decides where the customer feedback module should be placed. The business analyst waits until the design is complete, then she checks the design and provides feedback;Relevant
The process starts with the business analyst collecting data and conducting business analysis regarding customer feedback, then the web designer integrates the design and decides where the customer feedback module should be placed. The business analyst waits until the design is complete, then she checks the design and provides feedback. If the design needs adjustment the web designer has to change the design and integrates the design and decides where the customer feedback module should be placed, again;Relevant
The business analyst waits until the design is complete, then she checks the design and provides feedback. If the design needs adjustment the web designer has to change the design and integrates the design and decides where the customer feedback module should be placed, again. If the design is OK;Relevant
If the design needs adjustment the web designer has to change the design and integrates the design and decides where the customer feedback module should be placed, again. If the design is OK. The PHP/HTML/CSS specialist integrates with the overall implementation, and then the tester tests the final website to make sure everything is going well;Relevant
If the design is OK. The PHP/HTML/CSS specialist integrates with the overall implementation, and then the tester tests the final website to make sure everything is going well. If the test is OK, the process ends, otherwise if the test is not ok the tester provides test results to the PHP/HTML/CSS specialist who adjusts according to the test results, and integrates the overall implementation, again;Relevant
The PHP/HTML/CSS specialist integrates with the overall implementation, and then the tester tests the final website to make sure everything is going well. If the test is OK, the process ends, otherwise if the test is not ok the tester provides test results to the PHP/HTML/CSS specialist who adjusts according to the test results, and integrates the overall implementation, again. In the process of adding a credit card for an internet purchase after choosing to pay with credit card the user has to put his credit card details, after that the billing address is checked;Relevant
If the test is OK, the process ends, otherwise if the test is not ok the tester provides test results to the PHP/HTML/CSS specialist who adjusts according to the test results, and integrates the overall implementation, again. In the process of adding a credit card for an internet purchase after choosing to pay with credit card the user has to put his credit card details, after that the billing address is checked. If it is incorrect the process goes back to the user so that it can be modified, if it is correct the process continues;Relevant
In the process of adding a credit card for an internet purchase after choosing to pay with credit card the user has to put his credit card details, after that the billing address is checked. If it is incorrect the process goes back to the user so that it can be modified, if it is correct the process continues. Afterwards the user needs to click in the continue button to move forward;Relevant
If it is incorrect the process goes back to the user so that it can be modified, if it is correct the process continues. Afterwards the user needs to click in the continue button to move forward. The Credit Card is then verified by the Credit Card Authority;Relevant
Afterwards the user needs to click in the continue button to move forward. The Credit Card is then verified by the Credit Card Authority. The result is then checked and if it is validated the credit card is added, if not the addition is cancelled;Relevant
The Credit Card is then verified by the Credit Card Authority. The result is then checked and if it is validated the credit card is added, if not the addition is cancelled. The process starts with a visitor filling out a registration-form;Relevant
The result is then checked and if it is validated the credit card is added, if not the addition is cancelled. The process starts with a visitor filling out a registration-form. The availability of products and the credit rating is checked first;Relevant
The process starts with a visitor filling out a registration-form. The availability of products and the credit rating is checked first. If the credit rating is higher than 9000 (according to Schufa) the registration is called unsuccessful;Relevant
The availability of products and the credit rating is checked first. If the credit rating is higher than 9000 (according to Schufa) the registration is called unsuccessful. If not the interim customer dataset record is created;Relevant
If the credit rating is higher than 9000 (according to Schufa) the registration is called unsuccessful. If not the interim customer dataset record is created. After this two sub-processes starts in parallel: Device provision and Register customer account at ISP nodes;Relevant
If not the interim customer dataset record is created. After this two sub-processes starts in parallel: Device provision and Register customer account at ISP nodes. Once these sub-processes are finished a welcome package is created and sent to the customer to alert them that the registration process was completed successfully;Relevant
After this two sub-processes starts in parallel: Device provision and Register customer account at ISP nodes. Once these sub-processes are finished a welcome package is created and sent to the customer to alert them that the registration process was completed successfully. A PayPal client wants to pay with bank account and has selected this as payment option;Relevant
Once these sub-processes are finished a welcome package is created and sent to the customer to alert them that the registration process was completed successfully. A PayPal client wants to pay with bank account and has selected this as payment option. For bank account addition, first, the PayPal client needs to enter all relevant bank details,;Relevant
A PayPal client wants to pay with bank account and has selected this as payment option. For bank account addition, first, the PayPal client needs to enter all relevant bank details,. i.e. first name, bank name, account type, BSB and account number,;Relevant
For bank account addition, first, the PayPal client needs to enter all relevant bank details,. i.e. first name, bank name, account type, BSB and account number, . and click  continue ;Irrelevant
i.e. first name, bank name, account type, BSB and account number, . and click  continue . This submits the bank details to the PayPal system;Relevant
and click  continue . This submits the bank details to the PayPal system. After the bank details are submitted to the PayPal system, it makes two random deposits in the bank account;Relevant
This submits the bank details to the PayPal system. After the bank details are submitted to the PayPal system, it makes two random deposits in the bank account. The PayPal system sends a message with this information to the client bank account;Relevant
After the bank details are submitted to the PayPal system, it makes two random deposits in the bank account. The PayPal system sends a message with this information to the client bank account. By this, the two deposits to the bank account are made;Relevant
The PayPal system sends a message with this information to the client bank account. By this, the two deposits to the bank account are made. Then, after 3-5 working days it notifies the PayPal client to check his bank account for received deposits;Relevant
By this, the two deposits to the bank account are made. Then, after 3-5 working days it notifies the PayPal client to check his bank account for received deposits. The client may now log into his PayPal account, enter the amounts from the two deposits and click  verify ;Relevant
Then, after 3-5 working days it notifies the PayPal client to check his bank account for received deposits. The client may now log into his PayPal account, enter the amounts from the two deposits and click  verify . The PayPal system then checks its values against the values entered by the client;Relevant
The client may now log into his PayPal account, enter the amounts from the two deposits and click  verify . The PayPal system then checks its values against the values entered by the client. If the values match, the bank account is linked to the clients PayPal account and is considered as confirmed;Relevant
The PayPal system then checks its values against the values entered by the client. If the values match, the bank account is linked to the clients PayPal account and is considered as confirmed. If the values do not match, the bank account is removed from the PayPal system, i.e. it could not be confirmed;Relevant
If the values match, the bank account is linked to the clients PayPal account and is considered as confirmed. If the values do not match, the bank account is removed from the PayPal system, i.e. it could not be confirmed. In the process of reward and training, first, the management checks the employee performance;Relevant
If the values do not match, the bank account is removed from the PayPal system, i.e. it could not be confirmed. In the process of reward and training, first, the management checks the employee performance. If the performance is less than 20%, the management suggests the employee’s dismissal to the human resources department (HR);Relevant
In the process of reward and training, first, the management checks the employee performance. If the performance is less than 20%, the management suggests the employee’s dismissal to the human resources department (HR). Then, the HR dismisses the employee;Relevant
If the performance is less than 20%, the management suggests the employee’s dismissal to the human resources department (HR). Then, the HR dismisses the employee. If the employee performance is greater than 20% but less than 50%, the management will suggest training, which in turn is provided by HR;Relevant
Then, the HR dismisses the employee. If the employee performance is greater than 20% but less than 50%, the management will suggest training, which in turn is provided by HR. If the performance exceeds 75%, the management suggests the employee for reward;Relevant
If the employee performance is greater than 20% but less than 50%, the management will suggest training, which in turn is provided by HR. If the performance exceeds 75%, the management suggests the employee for reward. There may be either a financial reward or an other benefit;Relevant
If the performance exceeds 75%, the management suggests the employee for reward. There may be either a financial reward or an other benefit. Regarding the latter, the management chooses an appropriate benefit;Relevant
There may be either a financial reward or an other benefit. Regarding the latter, the management chooses an appropriate benefit. The financial reward is calculated and payed by the finance departement;Relevant
Regarding the latter, the management chooses an appropriate benefit. The financial reward is calculated and payed by the finance departement. Finally, the management announces the rewarded employee as employee of the month;Relevant
The financial reward is calculated and payed by the finance departement. Finally, the management announces the rewarded employee as employee of the month. This process describes how purchases work at the ACME Inc company;Relevant
Finally, the management announces the rewarded employee as employee of the month. This process describes how purchases work at the ACME Inc company. A purchase is initiated by a demand identified within a department;Irrelevant
This process describes how purchases work at the ACME Inc company. A purchase is initiated by a demand identified within a department. If there are enough goods in stock to satisfy this demand, then they are consumed locally and no further action is required;Relevant
A purchase is initiated by a demand identified within a department. If there are enough goods in stock to satisfy this demand, then they are consumed locally and no further action is required. Otherwise, the department defines which type of goods are needed and the necessary amounts and a purchase requisition is created in the ERP system;Relevant
If there are enough goods in stock to satisfy this demand, then they are consumed locally and no further action is required. Otherwise, the department defines which type of goods are needed and the necessary amounts and a purchase requisition is created in the ERP system. This purchase requisition is processed by the Central procurement department;Relevant
Otherwise, the department defines which type of goods are needed and the necessary amounts and a purchase requisition is created in the ERP system. This purchase requisition is processed by the Central procurement department. First, the purchase requisition is checked on the ERP system to see whether the supplier information is available;Relevant
This purchase requisition is processed by the Central procurement department. First, the purchase requisition is checked on the ERP system to see whether the supplier information is available. If this is a new supplier, first it has to be created within the ERP system;Relevant
First, the purchase requisition is checked on the ERP system to see whether the supplier information is available. If this is a new supplier, first it has to be created within the ERP system. Once it is created (or it if was already a known supplier), the purchase requisition is used to create an order template in the ERP system;Relevant
If this is a new supplier, first it has to be created within the ERP system. Once it is created (or it if was already a known supplier), the purchase requisition is used to create an order template in the ERP system. The final step in the process is the approval of this order, which is granted by another role, called  approver ;Relevant
Once it is created (or it if was already a known supplier), the purchase requisition is used to create an order template in the ERP system. The final step in the process is the approval of this order, which is granted by another role, called  approver . After receiving the new order template from the ERP system, he approves and triggers the purchase order;Irrelevant
The final step in the process is the approval of this order, which is granted by another role, called  approver . After receiving the new order template from the ERP system, he approves and triggers the purchase order. In ACME Inc, the process of purchase order-to-delivery is started by the financial department;Relevant
After receiving the new order template from the ERP system, he approves and triggers the purchase order. In ACME Inc, the process of purchase order-to-delivery is started by the financial department. They check the purchase invoice and then sends it to the department;Relevant
In ACME Inc, the process of purchase order-to-delivery is started by the financial department. They check the purchase invoice and then sends it to the department. The department checks the invoice for factual correctness and registers this in the SAPERION workflow system;Relevant
They check the purchase invoice and then sends it to the department. The department checks the invoice for factual correctness and registers this in the SAPERION workflow system. After this, a check is performed to see if the amount purchased is over $500 or under $500;Relevant
The department checks the invoice for factual correctness and registers this in the SAPERION workflow system. After this, a check is performed to see if the amount purchased is over $500 or under $500. If it is over $500 the invoice is sent to the department head who then uses the SAPERION workflow to approve the invoice;Relevant
After this, a check is performed to see if the amount purchased is over $500 or under $500. If it is over $500 the invoice is sent to the department head who then uses the SAPERION workflow to approve the invoice. Once this has been done, or if the amount of the order is under $500 the ERP system is triggered for payment and the process ends;Relevant
If it is over $500 the invoice is sent to the department head who then uses the SAPERION workflow to approve the invoice. Once this has been done, or if the amount of the order is under $500 the ERP system is triggered for payment and the process ends. The account creation process at this bank proceeds as follows;Relevant
Once this has been done, or if the amount of the order is under $500 the ERP system is triggered for payment and the process ends. The account creation process at this bank proceeds as follows. The first steps in the process are performed by the bank customer;Irrelevant
The account creation process at this bank proceeds as follows. The first steps in the process are performed by the bank customer. After visiting the bank website, she fills in her personal data and generates a PDF document with all the information relevant to this account request;Relevant
The first steps in the process are performed by the bank customer. After visiting the bank website, she fills in her personal data and generates a PDF document with all the information relevant to this account request. After printing this PDF, the customer needs to visit a post office to send these documents;Relevant
After visiting the bank website, she fills in her personal data and generates a PDF document with all the information relevant to this account request. After printing this PDF, the customer needs to visit a post office to send these documents. The post officer will check the identity of the customer and mail the account to the bank;Relevant
After printing this PDF, the customer needs to visit a post office to send these documents. The post officer will check the identity of the customer and mail the account to the bank. At the bank, the person in charge of making a decision on account requests is the bank officer;Relevant
The post officer will check the identity of the customer and mail the account to the bank. At the bank, the person in charge of making a decision on account requests is the bank officer. Once he receives a new request, he'll check the customer data;Relevant
At the bank, the person in charge of making a decision on account requests is the bank officer. Once he receives a new request, he'll check the customer data. Depending on the available information and his own criteria, he may either accept or reject the request;Relevant
Once he receives a new request, he'll check the customer data. Depending on the available information and his own criteria, he may either accept or reject the request. In the former case, he will mail the account documents to the customer;Relevant
Depending on the available information and his own criteria, he may either accept or reject the request. In the former case, he will mail the account documents to the customer. In the latter, he will mail a letter of refusal;Relevant
In the former case, he will mail the account documents to the customer. In the latter, he will mail a letter of refusal. A small company manufactures customized bicycles;Relevant
In the latter, he will mail a letter of refusal. A small company manufactures customized bicycles. Whenever the sales department receives an order, a new process instance is created;Irrelevant
A small company manufactures customized bicycles. Whenever the sales department receives an order, a new process instance is created. A member of the sales department can then reject or accept the order for a customized bike;Relevant
Whenever the sales department receives an order, a new process instance is created. A member of the sales department can then reject or accept the order for a customized bike. In the former case, the process instance is finished;Relevant
A member of the sales department can then reject or accept the order for a customized bike. In the former case, the process instance is finished. In the latter case, the storehouse and the engineering department are informed;Relevant
In the former case, the process instance is finished. In the latter case, the storehouse and the engineering department are informed. The storehouse immediately processes the part list of the order and checks the required quantity of each part;Relevant
In the latter case, the storehouse and the engineering department are informed. The storehouse immediately processes the part list of the order and checks the required quantity of each part. If the part is available in-house, it is reserved;Relevant
The storehouse immediately processes the part list of the order and checks the required quantity of each part. If the part is available in-house, it is reserved. If it is not available, it is back-ordered;Relevant
If the part is available in-house, it is reserved. If it is not available, it is back-ordered. This procedure is repeated for each item on the part list;Relevant
If it is not available, it is back-ordered. This procedure is repeated for each item on the part list. In the meantime, the engineering department prepares everything for the assembling of the ordered bicycle;Relevant
This procedure is repeated for each item on the part list. In the meantime, the engineering department prepares everything for the assembling of the ordered bicycle. If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle;Relevant
In the meantime, the engineering department prepares everything for the assembling of the ordered bicycle. If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle. Afterwards, the sales department ships the bicycle to the customer and finishes the process instance;Relevant
If the storehouse has successfully reserved or back-ordered every item of the part list and the preparation activity has finished, the engineering department assembles the bicycle. Afterwards, the sales department ships the bicycle to the customer and finishes the process instance. The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation;Relevant
Afterwards, the sales department ships the bicycle to the customer and finishes the process instance. The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation. This file serves as input to a claims handler who calculates an initial claim estimate;Relevant
The Police Report related to the car accident is searched within the Police Report database and put in a file together with the Claim Documentation. This file serves as input to a claims handler who calculates an initial claim estimate. Then, the claims handler creates an Action Plan based on an Action Plan Checklist available in the Document Management system;Relevant
This file serves as input to a claims handler who calculates an initial claim estimate. Then, the claims handler creates an Action Plan based on an Action Plan Checklist available in the Document Management system. Based on the Action Plan, a claims manager tries to negotiate a settlement on the claim estimate;Relevant
Then, the claims handler creates an Action Plan based on an Action Plan Checklist available in the Document Management system. Based on the Action Plan, a claims manager tries to negotiate a settlement on the claim estimate. The claimant is informed of the outcome, which ends the process;Relevant
Based on the Action Plan, a claims manager tries to negotiate a settlement on the claim estimate. The claimant is informed of the outcome, which ends the process. If goods shall be shipped, the secretary clarifies who will do the shipping;Relevant
The claimant is informed of the outcome, which ends the process. If goods shall be shipped, the secretary clarifies who will do the shipping. If you have large amounts, special shipping will be necessary;Relevant
If goods shall be shipped, the secretary clarifies who will do the shipping. If you have large amounts, special shipping will be necessary. In these cases the secretary invites three logistic companies to make offers and she selects one of them;Relevant
If you have large amounts, special shipping will be necessary. In these cases the secretary invites three logistic companies to make offers and she selects one of them. In case of small amounts, normal post shipment is used;Relevant
In these cases the secretary invites three logistic companies to make offers and she selects one of them. In case of small amounts, normal post shipment is used. Therefore a package label is written by the secretary and a parcel insurance taken by the logistics department head if necessary;Relevant
In case of small amounts, normal post shipment is used. Therefore a package label is written by the secretary and a parcel insurance taken by the logistics department head if necessary. In the meantime the goods can be already packaged by the warehousemen;Relevant
Therefore a package label is written by the secretary and a parcel insurance taken by the logistics department head if necessary. In the meantime the goods can be already packaged by the warehousemen. If everything is ready, the packaged goods are prepared for being picked up by the logistic company;Relevant
In the meantime the goods can be already packaged by the warehousemen. If everything is ready, the packaged goods are prepared for being picked up by the logistic company. The examination process can be summarised as follows;Relevant
If everything is ready, the packaged goods are prepared for being picked up by the logistic company. The examination process can be summarised as follows. The process starts when the female patient is examined by an outpatient physician, who decides whether she is healthy or needs to undertake an additional examination;Irrelevant
The examination process can be summarised as follows. The process starts when the female patient is examined by an outpatient physician, who decides whether she is healthy or needs to undertake an additional examination. In the former case, the physician fills out the examination form and the patient can leave;Relevant
The process starts when the female patient is examined by an outpatient physician, who decides whether she is healthy or needs to undertake an additional examination. In the former case, the physician fills out the examination form and the patient can leave. In the latter case, an examination and follow-up treatment order is placed by the physician who additionally fills out a request form;Relevant
In the former case, the physician fills out the examination form and the patient can leave. In the latter case, an examination and follow-up treatment order is placed by the physician who additionally fills out a request form. Beyond information about the patient, the request form includes details about the examination requested and refers to a suitable lab;Relevant
In the latter case, an examination and follow-up treatment order is placed by the physician who additionally fills out a request form. Beyond information about the patient, the request form includes details about the examination requested and refers to a suitable lab. Furthermore, the outpatient physician informs the patient about potential risks;Irrelevant
Beyond information about the patient, the request form includes details about the examination requested and refers to a suitable lab. Furthermore, the outpatient physician informs the patient about potential risks. If the patient signs an informed consent and agrees to continue with the procedure, a delegate of the physician arranges an appointment of the patient with one of the wards;Relevant
Furthermore, the outpatient physician informs the patient about potential risks. If the patient signs an informed consent and agrees to continue with the procedure, a delegate of the physician arranges an appointment of the patient with one of the wards. The latter is then responsible for taking a sample to be analysed in the lab later;Relevant
If the patient signs an informed consent and agrees to continue with the procedure, a delegate of the physician arranges an appointment of the patient with one of the wards. The latter is then responsible for taking a sample to be analysed in the lab later. Before the appointment, the required examination and sampling is prepared by a nurse of the ward based on the information provided by the outpatient section;Relevant
The latter is then responsible for taking a sample to be analysed in the lab later. Before the appointment, the required examination and sampling is prepared by a nurse of the ward based on the information provided by the outpatient section. Then, a ward physician takes the sample requested;Relevant
Before the appointment, the required examination and sampling is prepared by a nurse of the ward based on the information provided by the outpatient section. Then, a ward physician takes the sample requested. He further sends it to the lab indicated in the request form and conducts the follow-up treatment of the patient;Relevant
Then, a ward physician takes the sample requested. He further sends it to the lab indicated in the request form and conducts the follow-up treatment of the patient. After receiving the sample, a physician of the lab validates its state and decides whether the sample can be used for analysis or whether it is contaminated and a new sample is required;Relevant
He further sends it to the lab indicated in the request form and conducts the follow-up treatment of the patient. After receiving the sample, a physician of the lab validates its state and decides whether the sample can be used for analysis or whether it is contaminated and a new sample is required. After the analysis is performed by a medical technical assistant of the lab, a lab physician validates the results;Relevant
After receiving the sample, a physician of the lab validates its state and decides whether the sample can be used for analysis or whether it is contaminated and a new sample is required. After the analysis is performed by a medical technical assistant of the lab, a lab physician validates the results. Finally, a physician from the outpatient department makes the diagnosis and prescribes the therapy for the patient;Relevant
After the analysis is performed by a medical technical assistant of the lab, a lab physician validates the results. Finally, a physician from the outpatient department makes the diagnosis and prescribes the therapy for the patient. The Evanstonian is an upscale independent hotel;Relevant
Finally, a physician from the outpatient department makes the diagnosis and prescribes the therapy for the patient. The Evanstonian is an upscale independent hotel. When a guest calls room service at The Evanstonian, the room-service manager takes down the order;Irrelevant
The Evanstonian is an upscale independent hotel. When a guest calls room service at The Evanstonian, the room-service manager takes down the order. She then submits an order ticket to the kitchen to begin preparing the food;Relevant
When a guest calls room service at The Evanstonian, the room-service manager takes down the order. She then submits an order ticket to the kitchen to begin preparing the food. She also gives an order to the sommelier (i.e. , the wine waiter) to fetch wine from the cellar and to prepare any other alcoholic beverages;Relevant
She then submits an order ticket to the kitchen to begin preparing the food. She also gives an order to the sommelier (i.e. , the wine waiter) to fetch wine from the cellar and to prepare any other alcoholic beverages. Eighty percent of room-service orders include wine or some other alcoholic beverage;Relevant
She also gives an order to the sommelier (i.e. , the wine waiter) to fetch wine from the cellar and to prepare any other alcoholic beverages. Eighty percent of room-service orders include wine or some other alcoholic beverage. Finally, she assigns the order to the waiter;Irrelevant
Eighty percent of room-service orders include wine or some other alcoholic beverage. Finally, she assigns the order to the waiter. While the kitchen and the sommelier are doing their tasks, the waiter readies a cart (i.e. , puts a tablecloth on the cart and gathers silverware);Relevant
Finally, she assigns the order to the waiter. While the kitchen and the sommelier are doing their tasks, the waiter readies a cart (i.e. , puts a tablecloth on the cart and gathers silverware). The waiter is also responsible for nonalcoholic drinks;Relevant
While the kitchen and the sommelier are doing their tasks, the waiter readies a cart (i.e. , puts a tablecloth on the cart and gathers silverware). The waiter is also responsible for nonalcoholic drinks. Once the food, wine, and cart are ready, the waiter delivers it to the guest’s room;Relevant
The waiter is also responsible for nonalcoholic drinks. Once the food, wine, and cart are ready, the waiter delivers it to the guest’s room. After returning to the room-service station, the waiter debits the guest’s account;Relevant
Once the food, wine, and cart are ready, the waiter delivers it to the guest’s room. After returning to the room-service station, the waiter debits the guest’s account. The waiter may wait to do the billing if he has another order to prepare or deliver;Relevant
After returning to the room-service station, the waiter debits the guest’s account. The waiter may wait to do the billing if he has another order to prepare or deliver. A customer brings in a defective computer and the CRS checks the defect and hands out a repair cost calculation back;Irrelevant
The waiter may wait to do the billing if he has another order to prepare or deliver. A customer brings in a defective computer and the CRS checks the defect and hands out a repair cost calculation back. If the customer decides that the costs are acceptable, the process continues, otherwise she takes her computer home unrepaired;Relevant
A customer brings in a defective computer and the CRS checks the defect and hands out a repair cost calculation back. If the customer decides that the costs are acceptable, the process continues, otherwise she takes her computer home unrepaired. The ongoing repair consists of two activities, which are executed, in an arbitrary order;Relevant
If the customer decides that the costs are acceptable, the process continues, otherwise she takes her computer home unrepaired. The ongoing repair consists of two activities, which are executed, in an arbitrary order. The first activity is to check and repair the hardware, whereas the second activity checks and configures the software;Irrelevant
The ongoing repair consists of two activities, which are executed, in an arbitrary order. The first activity is to check and repair the hardware, whereas the second activity checks and configures the software. After each of these activities, the proper system functionality is tested;Relevant
The first activity is to check and repair the hardware, whereas the second activity checks and configures the software. After each of these activities, the proper system functionality is tested. If an error is detected another arbitrary repair activity is executed, otherwise the repair is finished;Relevant
After each of these activities, the proper system functionality is tested. If an error is detected another arbitrary repair activity is executed, otherwise the repair is finished. The party sends a warrant possession request asking a warrant to be released;Relevant
If an error is detected another arbitrary repair activity is executed, otherwise the repair is finished. The party sends a warrant possession request asking a warrant to be released. The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCTT file;Relevant
The party sends a warrant possession request asking a warrant to be released. The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCTT file. Then, the SCT Warrant Possession is forwarded to Queensland Police;Relevant
The Client Service Back Office as part of the Small Claims Registry Operations receives the request and retrieves the SCTT file. Then, the SCT Warrant Possession is forwarded to Queensland Police. The SCTT physical file is stored by the Back Office awaiting a report to be sent by the Police;Relevant
Then, the SCT Warrant Possession is forwarded to Queensland Police. The SCTT physical file is stored by the Back Office awaiting a report to be sent by the Police. When the report is received, the respective SCT file is retrieved;Relevant
The SCTT physical file is stored by the Back Office awaiting a report to be sent by the Police. When the report is received, the respective SCT file is retrieved. Then, Back Office attaches the new SCT document, and stores the expanded SCT physical file;Relevant
When the report is received, the respective SCT file is retrieved. Then, Back Office attaches the new SCT document, and stores the expanded SCT physical file. After that, some other MC internal staff receives the physical SCT file (out of scope);Relevant
Then, Back Office attaches the new SCT document, and stores the expanded SCT physical file. After that, some other MC internal staff receives the physical SCT file (out of scope). Each morning, the files which have yet to be processed need to be checked, to make sure they are in order for the court hearing that day;Relevant
After that, some other MC internal staff receives the physical SCT file (out of scope). Each morning, the files which have yet to be processed need to be checked, to make sure they are in order for the court hearing that day. If some files are missing, a search is initiated, otherwise the files can be physically tracked to the intended location;Relevant
Each morning, the files which have yet to be processed need to be checked, to make sure they are in order for the court hearing that day. If some files are missing, a search is initiated, otherwise the files can be physically tracked to the intended location. Once all the files are ready, these are handed to the Associate, and meantime the Judges Lawlist is distributed to the relevant people;Relevant
If some files are missing, a search is initiated, otherwise the files can be physically tracked to the intended location. Once all the files are ready, these are handed to the Associate, and meantime the Judges Lawlist is distributed to the relevant people. Afterwards, the directions hearings are conducted;Relevant
Once all the files are ready, these are handed to the Associate, and meantime the Judges Lawlist is distributed to the relevant people. Afterwards, the directions hearings are conducted. After a claim is registered, it is examined by a claims officer;Relevant
Afterwards, the directions hearings are conducted. After a claim is registered, it is examined by a claims officer. The claims officer then writes a settlement recommendation;Relevant
After a claim is registered, it is examined by a claims officer. The claims officer then writes a settlement recommendation. This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK;Relevant
The claims officer then writes a settlement recommendation. This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK. If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated;Relevant
This recommendation is then checked by a senior claims officer who may mark the claim as OK or Not OK. If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated. If the claim is OK, the claim handling process proceeds;Relevant
If the claim is marked as Not OK, it is sent back to the claims officer and the recommendation is repeated. If the claim is OK, the claim handling process proceeds. In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information;Relevant
If the claim is OK, the claim handling process proceeds. In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information. The claimant is expected to return the questionnaire within five days;Irrelevant
In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information. The claimant is expected to return the questionnaire within five days. If no response is received after five days, a reminder is sent to the claimant;Relevant
The claimant is expected to return the questionnaire within five days. If no response is received after five days, a reminder is sent to the claimant. If after another five days there is still no response, another reminder is sent and so on until the completed questionnaire is received;Relevant
If no response is received after five days, a reminder is sent to the claimant. If after another five days there is still no response, another reminder is sent and so on until the completed questionnaire is received. Mail from the party is collected on a daily basis by the Mail Processing Unit;Relevant
If after another five days there is still no response, another reminder is sent and so on until the completed questionnaire is received. Mail from the party is collected on a daily basis by the Mail Processing Unit. Within this unit, the Mail Clerk sorts the unopened mail into the various business areas;Relevant
Mail from the party is collected on a daily basis by the Mail Processing Unit. Within this unit, the Mail Clerk sorts the unopened mail into the various business areas. The mail is then distributed;Relevant
Within this unit, the Mail Clerk sorts the unopened mail into the various business areas. The mail is then distributed. When the mail is received by the Registry, it is opened and sorted into groups for distribution, and thus registered in a manual incoming Mail Register;Relevant
The mail is then distributed. When the mail is received by the Registry, it is opened and sorted into groups for distribution, and thus registered in a manual incoming Mail Register. Afterwards, the Assistant Registry Manager within the Registry performs a quality check;Relevant
When the mail is received by the Registry, it is opened and sorted into groups for distribution, and thus registered in a manual incoming Mail Register. Afterwards, the Assistant Registry Manager within the Registry performs a quality check. If the mail is not compliant, a list of requisition explaining the reason for rejection is compiled and sent back to the party;Relevant
Afterwards, the Assistant Registry Manager within the Registry performs a quality check. If the mail is not compliant, a list of requisition explaining the reason for rejection is compiled and sent back to the party. Otherwise, the matter details (types of action) are captured and provided to the Cashier, who takes the applicable fees attached to the mail;Relevant
If the mail is not compliant, a list of requisition explaining the reason for rejection is compiled and sent back to the party. Otherwise, the matter details (types of action) are captured and provided to the Cashier, who takes the applicable fees attached to the mail. At this point, the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party;Relevant
Otherwise, the matter details (types of action) are captured and provided to the Cashier, who takes the applicable fees attached to the mail. At this point, the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party. Meantime, the Cashier captures the Party Details and prints the Physical Court File;Relevant
At this point, the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party. Meantime, the Cashier captures the Party Details and prints the Physical Court File. The process starts when a client cannot find a product at a local shop of HomeDeco;Relevant
Meantime, the Cashier captures the Party Details and prints the Physical Court File. The process starts when a client cannot find a product at a local shop of HomeDeco. Client requests to a clerk if the product is available at the local warehouse;Relevant
The process starts when a client cannot find a product at a local shop of HomeDeco. Client requests to a clerk if the product is available at the local warehouse. The clerk checks the availability of the product with the ERP system of HomeDeco;Relevant
Client requests to a clerk if the product is available at the local warehouse. The clerk checks the availability of the product with the ERP system of HomeDeco. If the product is available at the local warehouse, the clerk makes a request to a warehouse manager to deliver the product to client at clerk’s desk directly;Relevant
The clerk checks the availability of the product with the ERP system of HomeDeco. If the product is available at the local warehouse, the clerk makes a request to a warehouse manager to deliver the product to client at clerk’s desk directly. If the product is not available, the clerk asks client if he would like to order that product or not;Relevant
If the product is available at the local warehouse, the clerk makes a request to a warehouse manager to deliver the product to client at clerk’s desk directly. If the product is not available, the clerk asks client if he would like to order that product or not. The product is normally delivered within 5 days at the local shop;Relevant
